Contestant_Id,Season_Number,Contestant_Name,Episode,Lip_Sync_Number,Wig_Removed,Death_Drop,Outfit_Reveal,Quality_Of_Outfit,Merle,Michelle,Santino,Ross,Carson,Do_They_Know_Words,Outfit_Reveal_1,Gender,Race,Body_Type,Type_Queen,Sewing,Dancing,Singing,Lip_Sync_Ass,Expressed_Hardship,Episode_Number,Episode_Airdate,Episode_Title,Episode_Type,Episode_Maxi_Challenge_Type,Numqueen,Sumqueen,Contestant_Entrance,Age,Hometown_City,Hometown_State,Season_Outcome,Handle_Instagram,Handle_Twitter,Numepisode,Episode_Placement,OUTCOME_LOSS,Season,Nickname,Runwaytheme,Minic,Minicw1,Minicw2,Minicw3,Bottom1,Bottom2,Bottom3,Bottom4,Bottom5,Bottom6,Lipsyncartist,Lipsyncsong,Eliminated1,Eliminated2,Notes,Airdate,Special,Finale,Numqueens,Rank,Contestant,Outcome,Eliminated,Participant,Minichalw,Penultimate,DOB,Hometown,Minicwins,Numcontests,Perc_High,Perc_Win,Perc_Winhigh,Perc_Low,Perc_Btm,Perc_Lowbtm,Num_High,Num_Win,Num_Winhigh,Num_Btm,Num_Low,Num_Lowbtm,Db_Score,Points,PPE
137,11,A'keria Chanel Davenport,3,,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,3,03/14/2019,Diva Worship,Competition,Acting,15,129,8,30,Dallas,Texas,3,mizakeriachanel,a_doublec_d,14,BTM6,0,S11,Diva Worship,,Seduce Your Way Into a Seduction Concert,Nina West,Ra’Jah O’Hara,,A’keria Chanel Davenport,Honey Davenport,Plastique Tiara,Ra’jah O’Hara,Scarlet Envy,Shuga Cain,Jennifer Lopez,Waiting for Tonight (Hex Rector Remix),Honey Davenport,,The “six-way gangbang” lip-sync,2019-03-14,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,
137,11,A'keria Chanel Davenport,7,,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,7,04/11/2019,From Farm to Runway,Competition,Sewing,15,129,8,30,Dallas,Texas,3,mizakeriachanel,a_doublec_d,14,BTM2,0,S11,From Farm to Runway,,Potato sack race,Nina West,Shuga Cain,,A’keria Chanel Davenport,Ra’Jah O’Hara,,,,,Sheena Easton,Strut,Ra’Jah O’Hara,,,2019-04-11,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,
137,11,A'keria Chanel Davenport,14,,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,14,05/30/2019,Grand Finale,Finale,,15,129,8,30,Dallas,Texas,3,mizakeriachanel,a_doublec_d,14,,,S11,Grand Finale,,,,,,,,,,,,Lady Gaga,Edge of Glory,,,Finale. Yvie Oddly wins S11,2019-05-30,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,
94,8,Acid Betty,5,,0,0,0,1,0,1,0,0,1,1,0,0,0,0,2,1,0,0,0,0,5,04/04/2016,Supermodel Snatch Game,Competition,Snatch Game,12,89,5,37,Brooklyn,New York,8,acidbetty,acidbettyrocks,10,ELIM,1,S08,Supermodel Snatch Game,Iconic Madonna Looks,,,,,Acid Betty,Naomi Smalls,,,,,Madonna,Causing a Commotion,Acid Betty,,,2016-04-04,0,0,8,8,Acid Betty,BTM,1,1,0,0,6553,"Brooklyn, New York",0,5,0.6,0,0.6,0,0.2,0.2,3,0,3,1,0,1,1,1,0.2
62,6,Adore Delano,9,,0,0,0,0,0,1,1,0,0,1,0,0,4,0,3,0,1,1,1,1,9,04/14/2014,Drag Queens of Talk,Competition,Talk Show,14,61,1,23,Azusa,California,2,adoredelano,AdoreDelano,14,BTM2,0,S06,Drag Queens of Talk,,“Hung Men” hangman challenge,BenDeLaCreme,,,Adore Delano,Trinity K. Bonet,,,,,Paul Abdul,Vibeology,Trinity K. Bonet,,,2014-04-14,0,0,7,2,Adore Delano,BTM,0,1,0,0,10864,"Azusa, California",2,10,0.2,0.3,0.5,0.2,0.2,0.4,2,3,5,2,2,4,2,2,0.2
62,6,Adore Delano,10,,0,0,0,0,0,1,1,0,0,1,0,0,4,0,3,0,1,1,1,1,10,04/21/2014,Drag My Wedding,Competition,Makeover,14,61,1,23,Azusa,California,2,adoredelano,AdoreDelano,14,BTM2,0,S06,Drag My Wedding,,Abstract painting with bodies for marriage equality,Bianca Del Rio,,,Joslyn Fox,Adore Delano,,,,,Aretha Franklin,Think,Joslyn Fox,,,2014-04-21,0,0,6,2,Adore Delano,BTM,0,1,0,0,10864,"Azusa, California",2,10,0.2,0.3,0.5,0.2,0.2,0.4,2,3,5,2,2,4,2,2,0.2
62,6,Adore Delano,12,,0,0,0,1,0,1,1,0,0,1,0,0,4,0,3,0,1,1,1,1,12,05/05/2014,Sissy That Walk!,Competition,Music Video,14,61,1,23,Azusa,California,2,adoredelano,AdoreDelano,14,SAFE,0,S06,Sissy That Walk!,,,,,,,,,,,,RuPaul,Sissy That Walk,Darienne Lake,,"Not much of a “bottom 2” per se, but whittling a top 4 to a top 3",2014-05-05,0,0,4,2,Adore Delano,WIN,0,1,0,1,10864,"Azusa, California",2,10,0.2,0.3,0.5,0.2,0.2,0.4,2,3,5,2,2,4,2,2,0.2
114,9,Aja,7,,0,0,0,1,0,1,0,0,1,1,0,0,4,0,2,1,1,0,0,0,7,05/05/2017,9021-HO,Competition,Acting,14,101,13,22,Brooklyn,New York,9,ajathekween,ajaqueen,14,ELIM,1,S09,9021-HO,,,,,,Nina Bo'nina Brown,Aja,,,,,CeCe Peniston,Finally,Aja,,,2017-05-05,0,0,9,9,Aja,BTM,1,1,0,0,12422,"Brooklyn, New York",0,7,0,0,0,0,0.285714286,0.285714286,0,0,0,2,0,2,-4,-4,-0.571428571
6,1,Akashia,1,,0,0,0,0,1,0,1,0,0,1,0,0,1,0,2,0,0,0,1,1,1,02/02/2009,Drag on a Dime,Competition,Sewing,9,0,6,32,Cleveland,Ohio,7,akashiadrag,DragAkashia,9,BTM2,0,S01,Drag on a Dime,,,,,,Akashia,Victoria (Porkchop) Parker,,,,,RuPaul,Supermodel,Victoria (Porkchop) Parker,,,2009-02-02,0,0,9,7,Akashia,BTM,0,1,0,0,9181,"Cleveland, Ohio",1,3,0,0,0,0,1,1,0,0,0,3,0,3,-6,-6,-2
6,1,Akashia,2,,0,0,0,0,1,0,1,0,0,1,0,0,1,0,2,0,0,0,1,1,2,02/09/2009,Girl Group Challenge,Competition,Lipsync,9,0,6,32,Cleveland,Ohio,7,akashiadrag,DragAkashia,9,BTM2,0,S01,Girl Group Challenge,,Act out emotions,Ongina,Akashia,,Akashia,Tammie Brown,,,,,Michelle Williams,We Break the Dawn,Tammie Brown,,,2009-02-09,0,0,8,7,Akashia,BTM,0,1,0,0,9181,"Cleveland, Ohio",1,3,0,0,0,0,1,1,0,0,0,3,0,3,-6,-6,-2
6,1,Akashia,3,,0,0,0,0,1,0,1,0,0,1,0,0,1,0,2,0,0,0,1,1,3,02/16/2009,Queens of All Media,Competition,Talk Show,9,0,6,32,Cleveland,Ohio,7,akashiadrag,DragAkashia,9,ELIM,1,S01,Queens of All Media,,,,,,Akashia,Shannel,,,,,Whitney Houston,The Greatest Love of All,Akashia,,,2009-02-16,0,0,7,7,Akashia,BTM,1,1,0,0,9181,"Cleveland, Ohio",1,3,0,0,0,0,1,1,0,0,0,3,0,3,-6,-6,-2
56,5,Alaska,12,,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,12,04/22/2013,"The Final Three, Hunty",Competition,Music Video,14,47,9,27,Pittsburgh,Pennsylvania,2,theonlyalaska5000,Alaska5000,14,SAFE,0,S05,"The Final Three, Hunty",,,,,,,,,,,,,,,,,2013-04-22,1,,3,2,Alaska,,,,,,9196,"Pittsburgh, Pennsylvania",4,11,0.363636364,0.181818182,0.545454546,0.181818182,0,0.181818182,4,2,6,0,2,2,6,6,0.545454546
