Contestant_Id,Season_Number,Contestant_Name,Episode,Lip_Sync_Number,Wig_Removed,Death_Drop,Outfit_Reveal,Quality_Of_Outfit,Merle,Michelle,Santino,Ross,Carson,Do_They_Know_Words,Outfit_Reveal_1,Gender,Race,Body_Type,Type_Queen,Sewing,Dancing,Singing,Lip_Sync_Ass,Expressed_Hardship,Episode_Number,Episode_Airdate,Episode_Title,Episode_Type,Episode_Maxi_Challenge_Type,Numqueen,Sumqueen,Contestant_Entrance,Age,Hometown_City,Hometown_State,Season_Outcome,Handle_Instagram,Handle_Twitter,Numepisode,Episode_Placement,OUTCOME_LOSS,Season,Nickname,Runwaytheme,Minic,Minicw1,Minicw2,Minicw3,Bottom1,Bottom2,Bottom3,Bottom4,Bottom5,Bottom6,Lipsyncartist,Lipsyncsong,Eliminated1,Eliminated2,Notes,Airdate,Special,Finale,Numqueens,Rank,Contestant,Outcome,Eliminated,Participant,Minichalw,Penultimate,DOB,Hometown,Minicwins,Numcontests,Perc_High,Perc_Win,Perc_Winhigh,Perc_Low,Perc_Btm,Perc_Lowbtm,Num_High,Num_Win,Num_Winhigh,Num_Btm,Num_Low,Num_Lowbtm,Db_Score,Points,PPE
1,1,Shannel,1,,,,,,,,,,,,,0,0,0,2,1,0,0,0,1,1,02/02/2009,Drag on a Dime,Competition,Sewing,9,0,1,26,Las Vegas,Nevada,4,theofficialshannel,ShannelOfficial,9,SAFE,0,S01,Drag on a Dime,,,,,,Akashia,Victoria (Porkchop) Parker,,,,,RuPaul,Supermodel,Victoria (Porkchop) Parker,,,2009-02-02,0,0,9,4,Shannel,SAFE,0,1,0,0,7123,"Las Vegas, Nevada",0,6,0.166666667,0,0.166666667,0.166666667,0.333333333,0.5,1,0,1,2,1,3,-4,-4,-0.666666667
2,1,Nina Flowers,1,,,,,,,,,,,,,0,2,0,2,1,1,0,0,0,1,02/02/2009,Drag on a Dime,Competition,Sewing,9,0,2,34,Bayamon,Puerto Rico,2,djninaflowers,DJNinaFlowers,9,WIN,0,S01,Drag on a Dime,,,,,,Akashia,Victoria (Porkchop) Parker,,,,,RuPaul,Supermodel,Victoria (Porkchop) Parker,,,2009-02-02,0,0,9,2,Nina Flowers,WIN,0,1,0,0,5166,"BayamÃ³n, Puerto Rico",1,6,0.5,0.166666667,0.666666667,0.166666667,0,0.166666667,3,1,4,0,1,1,4,4,0.666666667
3,1,Rebecca Glasscock,1,,,,,,,,,,,,,0,2,0,1,1,0,0,1,1,1,02/02/2009,Drag on a Dime,Competition,Sewing,9,0,3,26,Fort Lauderdale,Florida,3,,rebeccaglasscoc,9,LOW,0,S01,Drag on a Dime,,,,,,Akashia,Victoria (Porkchop) Parker,,,,,RuPaul,Supermodel,Victoria (Porkchop) Parker,,,2009-02-02,0,0,9,3,Rebecca Glasscock,LOW,0,1,0,0,8545,"Fort Lauderdale, Florida",1,6,0.166666667,0.166666667,0.333333333,0.166666667,0.333333333,0.5,1,1,2,2,1,3,-2,-2,-0.333333333
4,1,Ongina,1,,,,,,,,,,,,,0,3,0,2,1,1,0,0,1,1,02/02/2009,Drag on a Dime,Competition,Sewing,9,0,4,26,Los Angeles,California,5,ongina,ongina,9,HIGH,0,S01,Drag on a Dime,,,,,,Akashia,Victoria (Porkchop) Parker,,,,,RuPaul,Supermodel,Victoria (Porkchop) Parker,,,2009-02-02,0,0,9,5,Ongina,HIGH,0,1,0,0,8041,"Los Angeles, California",1,5,0.4,0.4,0.8,0,0.2,0.2,2,2,4,1,0,1,4,4,0.8
5,1,Victoria Porkchop Parker,1,,0,0,0,0,1,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,1,02/02/2009,Drag on a Dime,Competition,Sewing,9,0,5,39,Raleigh,North Carolina,9,porkchopla,PorkChopLA ,9,ELIM,1,S01,Drag on a Dime,,,,,,Akashia,Victoria (Porkchop) Parker,,,,,RuPaul,Supermodel,Victoria (Porkchop) Parker,,,2009-02-02,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,Akashia,1,,0,0,0,0,1,0,1,0,0,1,0,0,1,0,2,0,0,0,1,1,1,02/02/2009,Drag on a Dime,Competition,Sewing,9,0,6,32,Cleveland,Ohio,7,akashiadrag,DragAkashia,9,BTM2,0,S01,Drag on a Dime,,,,,,Akashia,Victoria (Porkchop) Parker,,,,,RuPaul,Supermodel,Victoria (Porkchop) Parker,,,2009-02-02,0,0,9,7,Akashia,BTM,0,1,0,0,9181,"Cleveland, Ohio",1,3,0,0,0,0,1,1,0,0,0,3,0,3,-6,-6,-2
7,1,Tammie Brown,1,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,02/02/2009,Drag on a Dime,Competition,Sewing,9,0,7,36,Long Beach,California,8,planettammie,thetammiebrown,9,SAFE,0,S01,Drag on a Dime,,,,,,Akashia,Victoria (Porkchop) Parker,,,,,RuPaul,Supermodel,Victoria (Porkchop) Parker,,,2009-02-02,0,0,9,8,Tammie Brown,SAFE,0,1,0,0,7563,"Los Angeles, California",0,2,0,0,0,0,0.5,0.5,0,0,0,1,0,1,-2,-2,-1
8,1,Jade,1,,,,,,,,,,,,,0,2,0,2,1,1,0,0,0,1,02/02/2009,Drag on a Dime,Competition,Sewing,9,0,8,32,Chicago,Illinois,6,jadesotomayor,SotomayorJade,9,SAFE,0,S01,Drag on a Dime,,,,,,Akashia,Victoria (Porkchop) Parker,,,,,RuPaul,Supermodel,Victoria (Porkchop) Parker,,,2009-02-02,0,0,9,6,Jade,SAFE,0,1,0,0,9088,"Chicago, Illinois",1,4,0,0,0,0.25,0.25,0.5,0,0,0,1,1,2,-3,-3,-0.75
9,1,BeBe Zahara Benet,1,,,,,,,,,,,,,0,1,0,2,1,0,1,1,1,1,02/02/2009,Drag on a Dime,Competition,Sewing,9,0,9,28,Minneapolis,Minnesota,1,bebezahara,BeBeZaharaBenet,9,SAFE,0,S01,Drag on a Dime,,,,,,Akashia,Victoria (Porkchop) Parker,,,,,RuPaul,Supermodel,Victoria (Porkchop) Parker,,,2009-02-02,0,0,9,1,BeBe Zahara Benet,SAFE,0,1,0,0,7749,"Minneapolis, Minnesota",0,6,0.166666667,0.333333333,0.5,0,0.166666667,0.166666667,1,2,3,1,0,1,3,3,0.5
1,1,Shannel,2,,,,,,,,,,,,,0,0,0,2,1,0,0,0,1,2,02/09/2009,Girl Group Challenge,Competition,Lipsync,9,0,1,26,Las Vegas,Nevada,4,theofficialshannel,ShannelOfficial,9,HIGH,0,S01,Girl Group Challenge,,Act out emotions,Ongina,Akashia,,Akashia,Tammie Brown,,,,,Michelle Williams,We Break the Dawn,Tammie Brown,,,2009-02-09,0,0,8,4,Shannel,SAFE,0,1,0,0,7123,"Las Vegas, Nevada",0,6,0.166666667,0,0.166666667,0.166666667,0.333333333,0.5,1,0,1,2,1,3,-4,-4,-0.666666667
